unit,sex,icd10,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PC,F,C53,LT	53.50 dp	52.10 d	52.50 d	51.00 d	50.90 d	50.10 d	47.70 d	46.70 d	45.60 d	43.80 d	42.70 d	43.20 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,LU	: 	61.03 p	69.83 	74.31 	76.55 	75.96 	75.40 b	67.75 	50.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,LV	35.10 	33.80 	39.70 	43.80 	39.00 	25.20 	25.00 	27.80 	27.40 	26.70 	34.50 	15.30 	14.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,ME	: 	8.04 	29.30 	32.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,MK	: 	5.63 d	9.90 d	: 	: 	5.30 d	14.60 d	17.40 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,MT	23.50 d	22.90 d	22.10 d	27.50 d	24.00 d	18.00 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,NL	: 	49.70 d	56.00 d	57.60 d	57.00 bd	60.30 d	64.40 d	64.60 d	66.20 d	65.20 d	66.20 d	65.50 d	66.30 d	67.50 d	67.90 d	67.50 d	66.80 d	66.90 d	65.90 d	66.10 d	65.70 d	65.60 d
PC,F,C53,NO	: 	: 	: 	76.30 	70.00 	74.40 	74.10 	73.50 	74.10 	75.90 	76.20 	76.70 	78.50 	78.50 	78.50 	78.50 	78.50 	80.10 	80.10 	80.10 	80.10 	78.90 
PC,F,C53,RO	: 	3.40 	3.10 	2.60 	2.90 	4.20 	7.50 	8.00 	5.70 	1.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,RS	5.60 d	8.00 d	10.40 d	10.70 d	10.60 d	10.60 d	9.30 d	6.00 d	2.40 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,SE	: 	79.40 d	79.90 d	75.90 d	73.60 d	72.50 bd	81.70 d	81.40 d	80.50 d	79.70 d	79.20 d	80.10 d	80.40 d	80.10 d	79.10 d	78.90 d	79.00 d	79.30 d	78.80 d	78.80 d	78.50 d	78.50 d
PC,F,C53,SI	71.70 d	69.60 d	72.40 d	72.00 d	72.00 d	71.90 d	71.50 d	71.30 d	71.50 d	71.30 d	71.50 d	71.40 d	71.20 d	70.40 d	70.30 d	71.00 d	67.12 d	: 	: 	: 	: 	: 
PC,F,C53,SK	: 	40.15 d	46.05 d	45.62 d	46.17 d	46.00 d	48.33 d	46.94 d	47.24 d	47.45 d	47.51 d	48.51 d	49.90 d	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C53,TR	: 	38.06 d	45.99 d	46.96 d	47.79 d	47.79 d	46.51 d	42.29 d	41.19 d	40.01 d	41.00 d	36.79 d	30.30 d	23.99 d	20.23 d	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,CZ	: 	25.60 	28.20 	28.30 	28.20 	28.90 	30.80 	28.80 	24.00 	23.10 	22.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,DE	: 	: 	: 	10.20 d	9.90 d	8.30 d	8.20 d	7.60 d	7.10 d	7.50 d	7.00 d	6.60 d	6.60 d	7.50 d	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,EE	: 	43.90 	46.80 	43.50 	31.10 	36.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,FI	: 	75.60 	74.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,FR	: 	27.70 	29.10 	29.10 	30.70 	31.70 	27.80 	20.90 	27.90 	29.00 	29.50 	29.90 	31.30 	32.00 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,HR	: 	23.80 	23.00 	: 	18.70 	: 	: 	: 	: 	21.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,IE	: 	33.30 dp	38.81 d	36.30 d	38.90 d	35.50 d	36.40 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,IT	: 	32.00 	38.40 	40.30 	39.70 	39.10 	40.30 	41.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,LT	42.90 dp	42.70 d	51.10 d	48.40 d	47.80 d	46.30 d	45.10 d	34.40 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,ME	: 	7.29 	20.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,MT	: 	: 	58.70 	57.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,NL	: 	68.90 	68.80 	70.40 	70.90 	71.30 	71.60 	70.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,SI	52.50 	54.10 	55.20 	54.20 	52.70 	54.70 	50.20 	50.90 	50.70 	52.10 	47.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,M,C18-C21,TR	: 	14.19 	20.17 	20.97 	21.66 	19.38 	18.35 	12.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,CZ	: 	27.20 	30.10 	30.20 	30.30 	30.80 	32.70 	31.00 	26.50 	25.50 	24.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,DE	: 	: 	: 	20.30 d	19.80 d	17.95 d	18.05 d	16.80 d	15.60 d	17.50 d	16.90 d	16.25 d	15.65 d	15.75 d	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,DK	: 	60.20 	60.40 	60.70 	60.60 	60.90 	63.60 	63.80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,EE	: 	49.80 	52.90 	49.70 	35.90 	41.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,FI	: 	79.10 	79.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,FR	: 	28.90 	30.50 	30.50 	32.10 	33.10 	29.30 	22.30 	29.80 	31.00 	31.70 	32.10 	33.80 	34.30 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,HR	: 	25.80 	23.00 	: 	20.00 	: 	: 	: 	: 	21.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,IE	: 	35.60 dp	43.05 d	41.20 d	43.20 d	39.90 d	40.20 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,IT	: 	34.10 	40.50 	42.70 	41.90 	41.10 	42.40 	43.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,LT	48.00 dp	47.20 d	55.70 d	52.80 d	51.10 d	49.90 d	49.90 d	39.10 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,LV	18.80 	14.60 	15.00 	16.00 	13.40 	11.80 	10.90 	10.59 	9.64 	7.63 	7.09 	7.57 	6.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,ME	: 	8.63 	23.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,MT	: 	61.70 	62.70 	59.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,NL	: 	71.60 	71.50 	72.90 	73.00 	73.20 	73.00 	71.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,RS	1.30 	2.80 	5.90 	5.70 	5.80 	5.50 	4.60 	2.70 	1.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,SI	58.60 	60.10 	61.30 	59.90 	58.40 	60.20 	55.10 	56.60 	56.10 	57.90 	52.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,T,C18-C21,TR	: 	15.86 	22.93 	23.74 	24.67 	22.23 	21.02 	14.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
