unit,source,icd10,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PC,PRG,C53,NL	: 	49.70 d	56.00 d	57.60 d	57.00 bd	60.30 d	64.40 d	64.60 d	66.20 d	65.20 d	66.20 d	65.50 d	66.30 d	67.50 d	67.90 d	67.50 d	66.80 d	66.90 d	65.90 d	66.10 d	65.70 d	65.60 d
PC,PRG,C53,NO	: 	: 	: 	76.30 	70.00 	74.40 	74.10 	73.50 	74.10 	75.90 	76.20 	76.70 	78.50 	78.50 	78.50 	78.50 	78.50 	80.10 	80.10 	80.10 	80.10 	78.90 
PC,PRG,C53,RO	: 	3.40 	3.10 	2.60 	2.90 	4.20 	7.50 	8.00 	5.70 	1.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,RS	5.60 d	8.00 d	10.40 d	10.70 d	10.60 d	10.60 d	9.30 d	6.00 d	2.40 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,SE	: 	79.40 d	79.90 d	75.90 d	73.60 d	72.50 bd	81.70 d	81.40 d	80.50 d	79.70 d	79.20 d	80.10 d	80.40 d	80.10 d	79.10 d	78.90 d	79.00 d	79.30 d	78.80 d	78.80 d	78.50 d	78.50 d
PC,PRG,C53,SI	71.70 d	69.60 d	72.40 d	72.00 d	72.00 d	71.90 d	71.50 d	71.30 d	71.50 d	71.30 d	71.50 d	71.40 d	71.20 d	70.40 d	70.30 d	71.00 d	67.12 d	: 	: 	: 	: 	: 
PC,PRG,C53,SK	: 	40.15 d	46.05 d	45.62 d	46.17 d	46.00 d	48.33 d	46.94 d	47.24 d	47.45 d	47.51 d	48.51 d	49.90 d	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,TR	: 	38.06 d	45.99 d	46.96 d	47.79 d	47.79 d	46.51 d	42.29 d	41.19 d	40.01 d	41.00 d	36.79 d	30.30 d	23.99 d	20.23 d	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,UK	: 	: 	: 	74.81 e	75.40 	76.51 	77.19 	77.78 	78.34 	78.67 	78.65 	78.91 	78.98 	78.49 	79.40 	79.85 	80.58 	81.01 	81.60 	82.02 	83.33 	83.71 
PC,SRV,C50,AT	: 	: 	74.50 	: 	: 	: 	: 	72.70 b	: 	: 	: 	: 	: 	: 	: 	80.10 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,BE	: 	: 	: 	67.30 	: 	: 	: 	: 	75.50 	: 	: 	: 	: 	72.70 	: 	: 	: 	71.00 	: 	: 	58.90 	: 
PC,SRV,C50,BG	: 	: 	35.50 	: 	: 	: 	: 	31.80 	: 	: 	: 	: 	: 	21.90 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,CH	: 	: 	: 	: 	49.00 	: 	: 	: 	: 	47.40 	: 	: 	: 	: 	46.00 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,CY	: 	: 	65.80 	: 	: 	: 	: 	65.70 	: 	: 	: 	: 	: 	59.22 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,CZ	: 	: 	77.10 	: 	: 	: 	: 	76.70 	: 	: 	: 	: 	: 	67.20 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,DE	: 	: 	65.70 	: 	: 	: 	: 	73.50 	: 	71.30 	: 	: 	68.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,DK	: 	: 	: 	: 	75.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,EE	: 	: 	43.60 	: 	: 	: 	: 	39.00 	: 	: 	: 	: 	: 	: 	: 	36.20 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,EL	: 	: 	65.69 	: 	: 	: 	: 	59.61 	: 	: 	: 	: 	49.62 b	53.80 	: 	53.80 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,ES	: 	73.75 	: 	: 	81.48 	: 	: 	79.80 	: 	: 	77.10 	: 	73.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,FR	: 	: 	70.00 	: 	: 	: 	: 	75.00 	: 	: 	: 	75.40 	: 	76.68 	: 	79.85 	: 	72.80 	: 	: 	: 	: 
PC,SRV,C50,HR	: 	: 	: 	: 	: 	: 	: 	67.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,SRV,C50,HU	: 	: 	60.00 	: 	: 	: 	: 	64.90 	: 	: 	: 	: 	64.70 	: 	: 	: 	: 	: 	60.10 	: 	: 	: 
PC,SRV,C50,IE	: 	: 	: 	: 	: 	: 	74.90 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
